k,t_phys,u_C,col_C,sup_C,epoch_C,energy_C
6565,6.565,0.0,0.0011138434095256467,0,1,
6566,6.566,0.0,0.001059520625426994,0,1,
6567,6.567,0.0,0.0010078471947715562,0,1,
6568,6.5680000000000005,0.0,0.0009586939070672064,0,1,
6569,6.569,0.0,0.0009119378534918797,0,1,
6570,6.57,0.0,0.0008674621195574972,0,1,
6571,6.571,0.0,0.0008251554927628476,0,1,
6572,6.572,0.0,0.0007849121845044067,0,1,
6573,6.573,0.0,0.000746631565549725,0,1,
6574,6.574,0.0,0.000710217914411932,0,1,
6575,6.575,0.0,0.0006755801779961594,0,1,
6576,6.5760000000000005,0.0,0.0006426317439193767,0,1,
6577,6.577,0.0,0.0006112902239343189,0,1,
6578,6.578,0.0,0.0005814772479159547,0,1,
6579,6.579,0.0,0.0005531182678953526,0,1,
6580,6.58,0.0,0.0005261423716509281,0,1,
6581,6.581,0.0,0.0005004821053909531,0,1,
6582,6.582,0.0,0.00047607330508394203,0,1,
6583,6.583,0.0,0.000452854936015151,0,1,
6584,6.5840000000000005,0.0,0.00043076894016799976,0,1,
6585,6.585,0.0,0.0004097600910487889,0,1,
6586,6.586,0.0,0.0003897758555916996,0,1,
6587,6.587,0.0,0.00037076626279876584,0,1,
6588,6.588,0.0,0.0003526837787863505,0,1,
6589,6.589,0.0,0.0003354831879256773,0,1,
6590,6.59,0.0,0.00031912147978020695,0,1,
6591,6.591,0.0,0.0003035577415571425,0,1,
6592,6.5920000000000005,0.0,0.00028875305580413713,0,1,
6593,6.593,0.0,0.00027467040309539194,0,1,
6594,6.594,0.0,0.0002612745694638088,0,1,
6595,6.595,0.0,0.0002485320583477307,0,1,
6596,6.596,0.0,0.00023641100683208975,0,1,
6597,6.597,0.0,0.00022488110597452312,0,1,
6598,6.598,0.0,0.0002139135250172297,0,1,
6599,6.599,0.0,0.0002034808392950585,0,1,
6600,6.6000000000000005,0.0,0.00019355696165956077,0,1,3.59181882012639
6601,6.601,0.0,0.00018411707724753075,0,1,
6602,6.602,0.0,0.00017513758143092217,0,1,
6603,6.603,0.0,0.00016659602079298303,0,1,
6604,6.604,0.0,0.00015847103698301825,0,1,
6605,6.605,0.0,0.0001507423133093878,0,1,
6606,6.606,0.0,0.0001433905239371953,0,1,
6607,6.607,0.0,0.00013639728556363414,0,1,
6608,6.6080000000000005,0.0,0.00012974511145015524,0,1,
6609,6.609,0.0,0.00012341736769651217,0,1,
6610,6.61,0.0,0.00011739823164734629,0,1,
6611,6.611,0.0,0.00011167265232730673,0,1,
6612,6.612,0.0,0.0001062263128057723,0,1,
6613,6.613,0.0,0.00010104559439706761,0,1,
6614,6.614,0.0,9.611754260665519e-05,0,1,
6615,6.615,0.0,9.142983473815148e-05,0,1,
6616,6.6160000000000005,0.0,8.697074908016723e-05,0,1,
6617,6.617,0.0,8.272913559592347e-05,0,1,
6618,6.618,0.0,7.869438804235182e-05,0,1,
6619,6.619,0.0,7.485641744896219e-05,0,1,
6620,6.62,0.0,7.12056268901615e-05,0,1,
6621,6.621,0.0,6.773288748794089e-05,0,1,
6622,6.622,0.0,6.442951558492563e-05,0,1,
6623,6.623,0.0,6.128725103070859e-05,0,1,
6624,6.6240000000000006,0.0,5.829823652717172e-05,0,1,
6625,6.625,0.0,5.545499798114806e-05,0,1,
6626,6.626,0.0,5.2750425815295725e-05,0,1,
6627,6.627,0.0,5.017775719045136e-05,0,1,
6628,6.628,0.0,4.7730559095009613e-05,0,1,
6629,6.6290000000000004,0.0,4.5402712259043313e-05,0,1,
6630,6.63,0.0,4.318839585294128e-05,0,1,
6631,6.631,0.0,4.108207293230236e-05,0,1,
6632,6.632000000000001,0.0,1.0000390784765927,0,1,
6633,6.633,0.0,0.9512665970975136,0,1,
6634,6.634,0.0,0.9048727777038205,0,1,
6635,6.635,0.0,0.8607416115815677,0,1,
6636,6.636,0.0,0.8187627478285517,0,1,
6637,6.6370000000000005,0.0,0.7788312174195765,0,1,
6638,6.638,0.0,0.7408471707292142,0,1,
6639,6.639,0.0,0.7047156278557327,0,1,
6640,6.640000000000001,0.0,0.670346241121868,0,1,
6641,6.641,0.0,0.6376530691585713,0,1,
6642,6.642,0.0,0.6065543620068218,0,1,
