episode_id,candidate,status,attribution,zero_occ,sat_occ,u_min,u_max,boundary_rel_var,strata
cal020,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.1312,0.6828,0.0,0.04,1.0,three_source;low_dof;staggered_source
cal020,A,QUALIFIED,-,0.052,0.0,0.0,0.2627608547287354,1.0,three_source;low_dof;staggered_source
cal020,B,QUALIFIED,-,0.052,0.0,-0.4157409632845028,0.6914407834453276,1.0,three_source;low_dof;staggered_source
cal021,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.251,0.4111,0.0,0.04,1.0,staggered_source
cal021,A,QUALIFIED,-,0.0975,0.0,0.0,0.19602465141993736,1.0,staggered_source
cal021,B,QUALIFIED,-,0.0975,0.0,-0.8048435015252821,1.1452179859534248,1.0,staggered_source
cal022,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.8925,0.0051,0.0,0.04,1.0,staggered_source
cal022,A,QUALIFIED,-,0.0835,0.0,0.0,0.12149654030704467,1.0,staggered_source
cal022,B,QUALIFIED,-,0.0835,0.0,-0.6124515489888173,0.7958112451779857,1.0,staggered_source
cal023,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.1752,0.7665,0.0,0.04,1.0,three_source;low_dof;staggered_source;reduced_non_node0
cal023,A,QUALIFIED,-,0.0988,0.0,0.0,0.5419147283625109,1.0,three_source;low_dof;staggered_source;reduced_non_node0
cal023,B,QUALIFIED,-,0.0988,0.0,-0.9293463547908933,1.3211249365514535,1.0,three_source;low_dof;staggered_source;reduced_non_node0
cal024,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.9208,0.0,0.0,0.03249310568119998,1.0,three_source;high_dof;staggered_source
cal024,A,QUALIFIED,-,0.0498,0.0,0.0,0.08752301900745975,1.0,three_source;high_dof;staggered_source
cal024,B,QUALIFIED,-,0.0493,0.0,-0.16010457807323475,0.3478657407112042,1.0,three_source;high_dof;staggered_source
cal025,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.9983,0.0,0.0,0.006769472564312762,1.0,strong_dissipation;three_source;low_dof;staggered_source
cal025,A,QUALIFIED,-,0.4285,0.0,0.0,0.06179941409705071,1.0,strong_dissipation;three_source;low_dof;staggered_source
cal025,B,QUALIFIED,-,0.4005,0.0,-0.7217256805251735,0.9007865563161753,1.0,strong_dissipation;three_source;low_dof;staggered_source
cal026,legacy,SEMANTIC_FAIL,TRANSDUCTION_LOSS,1.0,0.0,0.0,0.0,1.0,low_dof;staggered_source
cal026,A,QUALIFIED,-,0.1833,0.0,0.0,0.054160212152972634,1.0,low_dof;staggered_source
cal026,B,QUALIFIED,-,0.1833,0.0,-0.06901731118519991,0.10931884316447407,1.0,low_dof;staggered_source
cal027,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.632,0.0,0.0,0.026540210661674973,1.0,three_source;reduced_non_node0
cal027,A,QUALIFIED,-,0.085,0.0,0.0,0.08157013051540318,1.0,three_source;reduced_non_node0
cal027,B,QUALIFIED,-,0.085,0.0,-0.14078766232005446,0.33657821745121214,1.0,three_source;reduced_non_node0
cal028,legacy,SEMANTIC_FAIL,TRANSDUCTION_LOSS,1.0,0.0,0.0,0.0,1.0,strong_dissipation;staggered_source
cal028,A,QUALIFIED,-,0.5548,0.0,0.0,0.018479129240237868,1.0,strong_dissipation;staggered_source
cal028,B,QUALIFIED,-,0.525,0.0,-0.3379625417486903,0.3796066712843309,1.0,strong_dissipation;staggered_source
cal029,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.693,0.0459,0.0,0.04,1.0,staggered_source
cal029,A,QUALIFIED,-,0.0757,0.0,0.0,0.12128884404866307,1.0,staggered_source
cal029,B,QUALIFIED,-,0.0757,0.0,-0.48028238584819166,0.6782978108465724,1.0,staggered_source
