k,t_phys,u_A,col_A,sup_A,epoch_A,u_B,col_B,sup_B,epoch_B,energy_A,energy_B
7116,7.1160000000000005,0.0,9.636043122856593e-06,0,1,0.0,0.14956861928487653,0,1,,
7117,7.117,0.0,9.166087754218939e-06,0,1,0.0,0.14227407164571948,0,1,,
7118,7.118,0.0,8.719052379368723e-06,0,1,0.0,0.1353352832929311,0,1,,
7119,7.119,0.0,8.293819177018492e-06,0,1,0.0,0.12873490364137594,0,1,,
7120,7.12,0.0,7.889324842668286e-06,0,1,0.0,0.1224564283039409,0,1,,
7121,7.121,0.0,7.50455792979054e-06,0,1,0.0,0.11648415782197065,0,1,,
7122,7.122,0.0,7.138556320686926e-06,0,1,0.0,0.11080315840844349,0,1,,
7123,7.123,0.0,6.790404820692959e-06,0,1,0.0,0.10539922460572515,0,1,,
7124,7.1240000000000006,0.0,6.459232869714637e-06,0,1,0.0,0.10025884376452543,0,1,,
7125,7.125,0.0,6.14421236537475e-06,0,1,0.0,0.09536916225523652,0,1,,
7126,7.126,0.0,5.844555592325594e-06,0,1,0.0,0.09071795332716386,0,1,,
7127,7.127,0.0,5.559513252550305e-06,0,1,0.0,0.08629358653528071,0,1,,
7128,7.128,0.0,5.288372591727519e-06,0,1,0.0,0.08208499865805764,0,1,,
7129,7.1290000000000004,0.0,5.030455616974318e-06,0,1,0.0,0.07808166603364605,0,1,,
7130,7.13,0.0,4.785117401510864e-06,0,1,0.0,0.07427357824524208,0,1,,
7131,7.131,0.0,4.551744472007531e-06,0,1,0.0,0.07065121308983038,0,1,,
7132,7.132000000000001,0.0,4.32975327458203e-06,0,1,0.0,0.06720551276771666,0,1,,
7133,7.133,0.0,4.118588715610747e-06,0,1,0.0,0.06392786123331051,0,1,,
7134,7.134,0.0,3.9177227737055455e-06,0,1,0.0,0.060810062650523466,0,1,,
7135,7.135,0.0,3.726653179385267e-06,0,1,0.0,0.0578443208989098,0,1,,
7136,7.136,0.0,3.544902159140404e-06,0,1,0.0,0.055023220079304595,0,1,,
7137,7.1370000000000005,0.0,3.3720152407504647e-06,0,1,0.0,0.05233970597021304,0,1,,
7138,7.138,0.0,3.2075601168667012e-06,0,1,0.0,0.04978706838858234,0,1,,
7139,7.139,0.0,3.0511255640185554e-06,0,1,0.0,0.047358924410848866,0,1,,
7140,7.140000000000001,0.0,2.902320414340787e-06,0,1,0.0,0.04504920241230458,0,1,,
7141,7.141,0.0,2.7607725774500606e-06,0,1,0.0,0.042852126884872666,0,1,,
7142,7.142,0.0,2.626128110025174e-06,0,1,0.0,0.040762203995329004,0,1,,
7143,7.143,0.0,2.498050330764394e-06,0,1,0.0,0.03877420784785751,0,1,,
7144,7.144,0.0,2.376218978506833e-06,0,1,0.0,0.03688316741658857,0,1,,
7145,7.1450000000000005,0.0,2.2603294114127293e-06,0,1,0.0,0.035084354115445034,0,1,,
