t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
344,41.975175253222744,41.25176218014365,40.53178285664818,40.53438369463784,41.25176218032582,41.97257441505087,9.465683410623605,9.465682792027993,9.465682173432384,0.0026989322813429917,0.0017040139568587423,0.0007138181076926375,0.0007173950701104062,0.001704013957109285,0.002695355318674625,0.0,0.0,0.0
345,41.72983294149025,41.04618898911597,40.365449166874896,40.36790763982723,41.046188989270036,41.72737446838381,9.41847308688212,9.418472502147283,9.41847191741245,0.0023615101766040897,0.0014212867814904634,0.0004850574699699281,0.0004884386361135168,0.0014212867817023495,0.0023581290102485525,0.0,0.0,0.0
346,41.487692818211826,40.841614749757845,40.197992880169046,40.20031678088068,40.84161474988815,41.485368917369854,9.371498227297211,9.371497674569675,9.371497121842141,0.002028492078497035,0.001139933475849314,0.0002547529117669506,0.0002579489991592354,0.0011399334760285249,0.002025295990925491,0.0,0.0,0.0
347,41.24862930000117,40.638038543815085,40.0295251438729,40.03172183857744,40.63803854392529,41.2464326051864,9.324757657394287,9.324757134922029,9.324756612449775,0.0016997052707454288,0.0008599527770497412,2.305729530262257e-05,2.6078434809458095e-05,0.0008599527772013074,0.0016966841310869854,0.0,0.0,0.0
348,41.01252363198984,40.43545883077855,39.86015097564571,39.86222742736299,40.43545883087176,41.010447180179334,9.278250208561516,9.278249714688421,9.27824922081533,0.0013749864284120644,0.000581342566411798,0.0,0.0,0.0005813425665399871,0.001372130660341149,0.0,0.0,0.0
349,40.77926348308928,40.23387354767027,39.68996956803359,39.691932358640805,40.233873547749106,40.777300692403216,9.231974718020322,9.231974251180922,9.231973784341529,0.0010541810612581318,0.0003041000066981367,0.0,0.0,0.0003041000068065569,0.001051481612639682,0.0,0.0,0.0
350,40.548742568371885,40.03328019341963,39.51907458133227,39.520929932427,40.0332801934863,40.54688721721046,9.185930028796014,9.185929587510536,9.185929146225066,0.0007371429943995728,2.8221658157558116e-05,0.0,0.0,2.822165824924866e-05,0.0007345913085957806,0.0,0.0,0.0
351,40.32086029631997,39.833675900206465,39.347554424616824,39.34930821723806,39.833675900262854,40.31910650364233,9.140114989688602,9.140114572558272,9.14011415542795,0.00042373388316449545,0.0,0.0,0.0,0.0,0.00042132187191219056,0.0,0.0,0.0
352,40.09552143893308,39.635057493781524,39.175492524937745,39.177150318207396,39.63505749382921,40.09386364561573,9.09452845524376,9.09452806094637,9.094527666648988,0.00011382275938798952,0.0,0.0,0.0,0.0,0.00011154277716064753,0.0,0.0,0.0
353,39.87263582289395,39.43742154446429,39.00296758478267,39.0045346335267,39.43742154450462,39.87106877410957,9.049169285723947,9.049168913009666,9.04916854029539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
