t,E_field,E_source_remaining,E_injected_cum,E_leaked_cum,conservation_residual
227,366.4431292367261,0.0,393.46399021749124,27.020860980765214,9.237055564881302e-14
228,366.1179290363955,0.0,393.46399021749124,27.34606118109581,4.618527782440651e-14
229,365.7930174352004,0.0,393.46399021749124,27.67097278229094,9.237055564881302e-14
230,365.46839417702324,0.0,393.46399021749124,27.99559604046809,8.881784197001252e-14
231,365.1440590059739,0.0,393.46399021749124,28.319931211517474,1.0302869668521453e-13
232,364.82001166638906,0.0,393.46399021749124,28.643978551102222,4.263256414560601e-14
233,364.4962519028328,0.0,393.46399021749124,28.967738314658536,8.881784197001252e-14
234,364.17277946009534,0.0,393.46399021749124,29.291210757395966,6.394884621840902e-14
235,363.8495940831938,0.0,393.46399021749124,29.614396134297557,9.237055564881302e-14
236,363.52669551737125,0.0,393.46399021749124,29.937294700120088,9.592326932761353e-14
237,363.2040835080971,0.0,393.46399021749124,30.259906709394226,6.750155989720952e-14
238,362.88175780106656,0.0,393.46399021749124,30.5822324164248,1.1368683772161603e-13
239,362.55971814220044,0.0,393.46399021749124,30.9042720752909,9.592326932761353e-14
240,362.2379642776451,0.0,393.46399021749124,31.226025939846185,6.039613253960852e-14
241,361.9164959537723,0.0,393.46399021749124,31.547494263718995,6.394884621840902e-14
242,361.5953129171787,0.0,393.46399021749124,31.86867730031259,6.394884621840902e-14
243,361.27441491468596,0.0,393.46399021749124,32.18957530280537,9.237055564881302e-14
244,360.95380169334027,0.0,393.46399021749124,32.51018852415104,6.394884621840902e-14
245,360.6334730004125,0.0,393.46399021749124,32.830517217078814,6.394884621840902e-14
246,360.3134285833977,0.0,393.46399021749124,33.15056163409362,7.105427357601002e-14
247,359.993668190015,0.0,393.46399021749124,33.47032202747632,7.815970093361102e-14
248,359.67419156820745,0.0,393.46399021749124,33.789798649283874,7.815970093361102e-14
249,359.35499846614175,0.0,393.46399021749124,34.10899175134954,4.973799150320701e-14
250,359.03608863220813,0.0,393.46399021749124,34.42790158528314,2.842170943040401e-14
251,358.71746181502016,0.0,393.46399021749124,34.74652840247114,5.684341886080802e-14
252,358.3991177634143,0.0,393.46399021749124,35.064872454076934,1.4210854715202004e-14
253,358.08105622645024,0.0,393.46399021749124,35.38293399104103,2.842170943040401e-14
254,357.76327695341,0.0,393.46399021749124,35.70071326408126,2.842170943040401e-14
255,357.4457796937984,0.0,393.46399021749124,36.0182105236929,4.263256414560601e-14
256,357.12856419734226,0.0,393.46399021749124,36.335426020148994,7.105427357601002e-15
257,356.8116302139909,0.0,393.46399021749124,36.65236000350041,6.394884621840902e-14
258,356.49497749391514,0.0,393.46399021749124,36.96901272357615,4.973799150320701e-14
259,356.17860578750776,0.0,393.46399021749124,37.28538442998351,2.842170943040401e-14
260,355.86251484538303,0.0,393.46399021749124,37.60147537210823,2.1316282072803006e-14
261,355.5467044183765,0.0,393.46399021749124,37.91728579911477,4.973799150320701e-14
262,355.2311742575448,0.0,393.46399021749124,38.23281595994648,4.263256414560601e-14
263,354.91592411416553,0.0,393.46399021749124,38.548066103325745,3.552713678800501e-14
264,354.600953739737,0.0,393.46399021749124,38.86303647775424,7.105427357601002e-15
265,354.28626288597815,0.0,393.46399021749124,39.17772733151312,2.1316282072803006e-14
266,353.9718513048281,0.0,393.46399021749124,39.492138912663194,2.842170943040401e-14
