step,time_ms,met_act,hc_release,aff_r_v,aff_i_v,enc_r_act,col_act,mot_act,enc_r_energy,col_energy,mot_energy,enc_r_heat,col_heat,mot_heat,aff_r_spikes,aff_i_spikes,mot_spikes
59,59.00000000000001,0.004015729387341965,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
60,60.0,0.004152892958219956,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
61,61.0,0.00429233175520781,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
62,62.0,0.004434044402427566,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
63,63.0,0.004578029524644681,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
64,64.0,0.004724285747267767,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
65,65.0,0.004872811696348308,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
66,66.0,0.005023605998580387,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
67,67.0,0.005176667281300409,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
68,68.0,0.0053319941724868265,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
69,69.0,0.005489585300759865,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
70,70.0,0.005649439295381243,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
71,71.00000000000001,0.005811554786253902,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
72,72.00000000000001,0.005975930403921732,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
73,73.0,0.00614256477956929,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
74,74.0,0.006311456545021534,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
75,75.0,0.00648260433274354,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
76,76.0,0.006656006775840232,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
77,77.0,0.006831662508056108,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
78,78.0,0.0070095701637749655,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
79,79.0,0.007189728378019623,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
80,80.0,0.007372135786451651,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
81,81.0,0.007556791025371094,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
82,82.0,0.007743692731716203,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
83,83.0,0.007932839543063154,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
84,84.0,0.008124230097625777,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
85,85.0,0.00831786303425528,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
86,86.0,0.008513736992439985,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
87,87.00000000000001,0.008711850612305047,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
88,88.0,0.008912202534612178,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
89,89.0,0.009114791400759385,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
90,90.0,0.00931961585278068,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
91,91.0,0.009526674533345823,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
92,92.0,0.009735966085760045,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
93,93.0,0.009947489153963771,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
94,94.0,0.01016124238253235,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
95,95.0,0.01037722441667578,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
96,96.0,0.010595433902238442,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
97,97.0,0.010815869485698825,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
98,98.0,0.011038529814169248,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
99,99.0,0.011263413535395596,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
100,100.0,0.011490519297757044,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
101,101.0,0.01171984575026579,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
102,102.00000000000001,0.011951391542566773,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
103,103.00000000000001,0.012185155324937415,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
104,104.00000000000001,0.012421135748287338,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
105,105.0,0.012659331464158097,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
106,106.0,0.01289974112472291,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
107,107.0,0.013142363382786392,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
108,108.0,0.01338719689178427,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
109,109.0,0.013634240305783122,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
110,110.0,0.013883492279480108,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
111,111.0,0.01413495146820269,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
112,112.0,0.014388616527908373,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
113,113.0,0.014644486115184426,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
114,114.0,0.014902558887247619,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
115,115.0,0.015162833501943944,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
116,116.0,0.01542530861774834,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
117,117.0,0.015689982893764453,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
118,118.00000000000001,0.01595685498972433,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
