path,owner_class,value,category
s1.adx.collector._power.vdd,PowerRail,1.0,DYNAMIC_CAUSAL
s1.adx.collector._power.r_internal,PowerRail,0.1,DYNAMIC_CAUSAL
s1.adx.collector._power._last_current,PowerRail,0.0,DYNAMIC_CAUSAL
s1.adx.collector._channels['default'].v_threshold,MOSFET,0.3,STATIC_PARAMETER
s1.adx.collector._channels['default'].gm,MOSFET,1.0,STATIC_PARAMETER
s1.adx.collector._channels['default'].n_slope,MOSFET,1.5,DYNAMIC_CAUSAL
s1.adx.collector._channels['default'].v_thermal,MOSFET,0.026,DYNAMIC_CAUSAL
s1.adx.collector._channels['default'].m_gate,MOSFET,0.0,DYNAMIC_CAUSAL
s1.adx.collector._channels['default'].tau_gate,MOSFET,0.0,DYNAMIC_CAUSAL
s1.adx.collector._channel_configs['default'].v_threshold,ChannelConfig,0.3,STATIC_PARAMETER
s1.adx.collector._channel_configs['default'].gm,ChannelConfig,1.0,STATIC_PARAMETER
s1.adx.collector._channel_configs['default'].tau_gate,ChannelConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector._channel_configs['default'].reversal,ChannelConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector._channel_configs['default'].sign,ChannelConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.activation,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector.release_rate,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector.energy,Neuron,1.0,DYNAMIC_CAUSAL
s1.adx.collector.heat_output,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector.spike_times,Neuron,[0],HISTORICAL_LOG
s1.adx.collector._spike_heat,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector._vr_energy_delivered,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector._cumulative_heat_out,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector._cumulative_energy_in,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector._w_adapt,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector.pre_trace,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector.post_trace,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector._prev_activation,Neuron,0.0,AUDIT_COUNTER
s1.adx.collector._current_time,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector._activation_ema,Neuron,0.0,DYNAMIC_CAUSAL
s1.adx.collector._fatigue_v_th_base,Neuron,0.0,DYNAMIC_CAUSAL
